GEO_ID,STATE NAME,Median Family Income,Mean Family Income,Per Capita Income,Unemploement Rate,Perc Family below PL,Perc Pop below PL
Geography,Geographic Area Name,,,,,,
0400000US01,Alabama,77363,100358,33344,5.2,11.3,15.7
0400000US02,Alaska,104081,127741,42828,6.4,7.2,10.5
0400000US04,Arizona,86737,113131,38334,5.4,9.2,13.1
0400000US05,Arkansas,71437,95550,31868,5.1,11.6,16.2
0400000US06,California,105010,145957,45591,6.4,8.5,12.1
0400000US08,Colorado,108664,139321,47346,4.5,6,9.6
0400000US09,Connecticut,115539,158585,52034,5.9,6.8,10.1
0400000US10,Delaware,97743,122353,42180,5.4,7.5,11.1
0400000US11,District of Columbia,142328,199406,71297,7.1,10.8,15.1
0400000US12,Florida,81514,112658,38850,5,9.1,12.9
0400000US13,Georgia,86169,115812,37836,5.2,10,13.5
0400000US15,Hawaii,111678,137891,42683,5.1,6.5,9.6
0400000US16,Idaho,83640,107118,34919,3.8,7.3,11
0400000US17,Illinois,99215,130956,43198,6,8.2,11.8
0400000US18,Indiana,84657,106594,35578,4.5,8.5,12.3
0400000US19,Iowa,90921,111983,37949,3.8,7,11.1
0400000US20,Kansas,89535,113772,38108,4,7.6,11.6
0400000US21,Kentucky,76273,98972,33515,5.1,11.7,16.1
0400000US22,Louisiana,74911,99418,32981,6.6,13.9,18.7
0400000US23,Maine,89012,112151,39718,4,6.4,10.9
0400000US24,Maryland,120081,152797,49865,5.1,6.2,9.3
0400000US25,Massachusetts,122530,162367,53513,5.3,6.5,9.9
0400000US26,Michigan,87221,111997,37929,6,8.8,13.1
0400000US27,Minnesota,107072,134671,44947,4,5.5,9.3
0400000US28,Mississippi,67731,88319,29209,6.4,14.4,19.2
0400000US29,Missouri,84745,109112,36754,4.3,8.5,12.8
0400000US30,Montana,84027,109442,37837,3.9,7.3,12.4
0400000US31,Nebraska,92614,116527,38585,3.1,6.7,10.4
0400000US32,Nevada,85584,112119,37945,7,9,12.7
0400000US33,New Hampshire,113605,140123,48250,3.6,4.4,7.3
0400000US34,New Jersey,119240,158765,50995,6.2,6.9,9.7
0400000US35,New Mexico,72422,95066,32667,6.2,13.7,18.3
0400000US36,New York,100846,142442,47173,6.2,9.7,13.6
0400000US37,North Carolina,82890,110687,37641,5.1,9.5,13.3
0400000US38,North Dakota,100188,122601,40748,2.9,6.1,10.8
0400000US39,Ohio,86508,110726,37729,5,9.3,13.3
0400000US40,Oklahoma,77160,100446,33630,4.9,11,15.2
0400000US41,Oregon,94277,122261,41805,5.5,7.3,11.9
0400000US42,Pennsylvania,93685,121721,41234,5.4,8,11.8
0400000US44,Rhode Island,104033,129686,43324,5.9,7.2,11.2
0400000US45,South Carolina,79830,104941,36072,5.2,10.2,14.4
0400000US46,South Dakota,88996,110466,36850,3.1,7.5,12.3
0400000US47,Tennessee,80258,105921,36040,5,10,14
0400000US48,Texas,87594,117528,37514,5.2,10.7,13.9
0400000US49,Utah,100001,125109,37023,3.4,5.7,8.5
0400000US50,Vermont,97153,119414,41680,3.8,5.9,10.4
0400000US51,Virginia,107504,142106,47210,4.4,6.8,10
0400000US53,Washington,108285,142582,48685,5,6.3,9.9
0400000US54,West Virginia,71678,91003,31462,6.1,11.9,16.8
0400000US55,Wisconsin,92974,115460,40130,3.4,6.6,10.7
0400000US56,Wyoming,92028,113271,39547,3.8,6.8,10.7
0400000US72,Puerto Rico,29240,44020,15637,13.3,38.8,42.2
