GEO_ID,STATE NAME,Median Family Income,Mean Family Income,Per Capita Income,Unemploement Rate,Perc Family below PL,Perc Pop below PL
0400000US01,Alabama,64430,83896,27928,5.9,12.3,16.7
0400000US02,Alaska,92588,111717,36787,7.2,7.3,10.7
0400000US04,Arizona,70184,93002,30694,5.9,10.8,15.1
0400000US05,Arkansas,59455,79134,26577,5.1,12.4,17
0400000US06,California,85837,119126,36955,6.1,9.6,13.4
0400000US08,Colorado,88931,114593,38226,4.3,6.6,10.3
0400000US09,Connecticut,100418,137002,44496,6,6.8,9.9
0400000US10,Delaware,83127,105114,35450,5.5,7.9,11.8
0400000US11,District of Columbia,113561,165620,56147,6.9,12.2,16.2
0400000US12,Florida,67414,93531,31619,5.6,10,14
0400000US13,Georgia,70851,95812,31067,5.7,11.3,15.1
0400000US15,Hawaii,94982,117075,35567,4.3,6.4,9.4
0400000US16,Idaho,67762,86668,27970,4.3,9.1,13.1
0400000US17,Illinois,83279,110401,36038,5.9,8.9,12.5
0400000US18,Indiana,71164,89571,29777,4.8,9.3,13.4
0400000US19,Iowa,77099,94695,32176,3.7,7.2,11.5
0400000US20,Kansas,75976,96737,31814,4.1,7.8,12
0400000US21,Kentucky,63684,83043,28178,5.6,13,17.3
0400000US22,Louisiana,63572,85218,27923,6.5,14.5,19.2
0400000US23,Maine,73756,91617,32637,4.1,7.3,11.8
0400000US24,Maryland,103108,130482,42122,5.1,6.1,9.2
0400000US25,Massachusetts,103126,133746,43761,4.8,7,10.3
0400000US26,Michigan,72600,93955,31713,5.9,9.9,14.4
0400000US27,Minnesota,89842,113077,37625,3.6,5.9,9.7
0400000US28,Mississippi,57008,74380,24369,7.5,15.5,20.3
0400000US29,Missouri,70398,91107,30810,4.6,9.4,13.7
0400000US30,Montana,71079,90757,31151,4,8,13.1
0400000US31,Nebraska,78212,97347,32302,3.3,7.2,11.1
0400000US32,Nevada,71916,93624,31557,6.2,9.4,13.1
0400000US33,New Hampshire,95244,117422,40003,3.6,4.6,7.6
0400000US34,New Jersey,102260,134704,42745,5.5,7.2,10
0400000US35,New Mexico,61102,81023,27230,6.7,14.5,19.1
0400000US36,New York,84385,119540,39326,5.5,10.4,14.1
0400000US37,North Carolina,68435,91227,30783,5.6,10.6,14.7
0400000US38,North Dakota,86249,105819,36062,2.8,6.2,10.7
0400000US39,Ohio,72439,92726,31552,5.3,9.9,14
0400000US40,Oklahoma,65544,85847,28422,5.1,11.3,15.7
0400000US41,Oregon,76946,98950,33763,5.5,8.4,13.2
0400000US42,Pennsylvania,78521,102124,34352,5.3,8.4,12.4
0400000US44,Rhode Island,86258,108155,36121,5.4,8.6,12.4
0400000US45,South Carolina,66357,87127,29426,5.8,10.9,15.2
0400000US46,South Dakota,75168,92017,30773,3.4,8.1,13.1
0400000US47,Tennessee,66242,88501,29859,5.3,11.1,15.2
0400000US48,Texas,73349,99605,31277,5.1,11.3,14.7
0400000US49,Utah,81525,101666,29775,3.6,6.8,9.8
0400000US50,Vermont,80998,99437,34577,3.6,6.6,10.9
0400000US51,Virginia,90141,118940,39278,4.6,7.1,10.6
0400000US53,Washington,88660,114940,38915,5,6.9,10.8
0400000US54,West Virginia,59607,75996,26480,6.5,12.7,17.6
0400000US55,Wisconsin,78679,97431,33375,3.6,7.2,11.3
0400000US56,Wyoming,79782,95869,33366,4.5,6.8,11
0400000US72,Puerto Rico,24979,37484,12914,16.1,40.3,44.1
