GEO_ID,STATE NAME,Median Family Income,Mean Family Income,Per Capita Income,Unemploement Rate,Perc Family below PL,Perc Pop below PL
0400000US01,Alabama,70878,91751,30458,5.4,11.4,15.8
0400000US02,Alaska,96658,118906,39236,6.9,7.1,10.4
0400000US04,Arizona,78845,103006,34644,5.6,9.5,13.5
0400000US05,Arkansas,65673,87797,29210,5.3,11.6,16
0400000US06,California,95971,132761,41276,6.5,8.7,12.3
0400000US08,Colorado,99270,126852,42807,4.6,6.1,9.6
0400000US09,Connecticut,106441,145819,47869,6.1,6.8,10
0400000US10,Delaware,89545,113479,38917,5.7,7.7,11.4
0400000US11,District of Columbia,127629,181289,63793,7.1,11.6,15.4
0400000US12,Florida,74237,102392,35216,5.3,9.3,13.1
0400000US13,Georgia,78834,106071,34516,5.5,10.3,13.9
0400000US15,Hawaii,103593,127545,39045,5.2,6.5,9.5
0400000US16,Idaho,75851,97168,31509,4,7.5,11.4
0400000US17,Illinois,91408,120630,39571,6.2,8.3,11.8
0400000US18,Indiana,77860,97617,32537,4.7,8.6,12.5
0400000US19,Iowa,83979,102990,34817,3.9,7,11
0400000US20,Kansas,82260,104742,34968,4.1,7.6,11.5
0400000US21,Kentucky,70178,90939,30634,5.3,11.9,16.3
0400000US22,Louisiana,69093,92154,30340,6.8,14,18.8
0400000US23,Maine,81740,101983,36171,4.2,6.6,11
0400000US24,Maryland,111378,141430,45915,5.3,6.2,9.2
0400000US25,Massachusetts,112543,148067,48617,5.4,6.6,9.9
0400000US26,Michigan,80365,103151,34768,6.2,8.9,13.3
0400000US27,Minnesota,98356,123870,41204,4,5.6,9.2
0400000US28,Mississippi,62802,81636,26807,6.8,14.5,19.4
0400000US29,Missouri,77976,100355,33770,4.5,8.5,12.8
0400000US30,Montana,77152,99765,34423,4.1,7.5,12.5
0400000US31,Nebraska,85162,106469,35189,3.3,6.6,10.3
0400000US32,Nevada,78456,102444,34621,7.1,9.1,12.9
0400000US33,New Hampshire,104193,128164,43877,3.8,4.7,7.4
0400000US34,New Jersey,110115,146057,46691,6.2,7,9.8
0400000US35,New Mexico,66533,87466,29624,6.6,13.8,18.3
0400000US36,New York,92731,131094,43208,6.2,9.8,13.5
0400000US37,North Carolina,75815,101094,34209,5.3,9.7,13.7
0400000US38,North Dakota,92066,111910,37343,3.2,6.3,10.7
0400000US39,Ohio,79470,101540,34526,5.3,9.3,13.4
0400000US40,Oklahoma,71155,92549,30976,5,11,15.2
0400000US41,Oregon,86066,110885,37816,5.6,7.5,12.1
0400000US42,Pennsylvania,86142,111872,37725,5.5,8,11.8
0400000US44,Rhode Island,95198,119096,39603,6,7.4,11.3
0400000US45,South Carolina,72899,96108,32823,5.3,10.4,14.5
0400000US46,South Dakota,81756,100838,33468,3.2,7.7,12.5
0400000US47,Tennessee,73248,97441,32908,5.3,10.3,14.3
0400000US48,Texas,80498,107893,34255,5.4,10.7,14
0400000US49,Utah,90665,113800,33378,3.5,5.9,8.8
0400000US50,Vermont,88607,109701,37903,3.9,6,10.5
0400000US51,Virginia,98771,130284,43267,4.6,6.8,9.9
0400000US53,Washington,98691,129229,43817,5.1,6.5,10
0400000US54,West Virginia,65845,83583,28761,6.4,12,16.9
0400000US55,Wisconsin,85623,106121,36754,3.5,6.6,10.7
0400000US56,Wyoming,85901,104683,36288,4.2,6.8,10.7
0400000US72,Puerto Rico,26745,40087,14047,14.6,39.2,42.7
