GEO_ID,STATE NAME,Median Family Income,Mean Family Income,Per Capita Income,Unemploement Rate,Perc Family below PL,Perc Pop below PL
0400000US01,Alabama,62030,80678,26846,6.6,13,17.5
0400000US02,Alaska,90284,108301,35874,7.4,7.5,10.8
0400000US04,Arizona,66988,88911,29265,6.5,11.6,16.1
0400000US05,Arkansas,57065,76371,25635,5.5,12.9,17.6
0400000US06,California,81416,113046,35021,6.7,10.4,14.3
0400000US08,Colorado,84540,109258,36415,4.7,7.2,10.9
0400000US09,Connecticut,97310,132796,43056,6.5,6.9,10
0400000US10,Delaware,79814,101100,33989,5.9,8,11.9
0400000US11,District of Columbia,105029,155556,53321,7.4,12.9,16.8
0400000US12,Florida,64312,89399,30197,6.3,10.6,14.8
0400000US13,Georgia,67405,91173,29523,6.4,12.1,16
0400000US15,Hawaii,90935,112416,34035,4.5,6.7,9.9
0400000US16,Idaho,64723,82865,26772,4.7,9.6,13.8
0400000US17,Illinois,79747,105865,34463,6.6,9.4,13.1
0400000US18,Indiana,68054,85472,28461,5.4,9.9,14.1
0400000US19,Iowa,74794,91704,31085,3.9,7.4,11.7
0400000US20,Kansas,73222,93587,30757,4.4,8.2,12.4
0400000US21,Kentucky,61059,79553,26948,6.1,13.5,17.9
0400000US22,Louisiana,61785,82523,27027,6.9,14.6,19.4
0400000US23,Maine,70370,87523,31253,4.6,7.9,12.5
0400000US24,Maryland,99403,125351,40517,5.6,6.4,9.4
0400000US25,Massachusetts,98625,128072,41794,5.4,7.5,10.8
0400000US26,Michigan,69691,90116,30336,6.5,10.4,15
0400000US27,Minnesota,86204,109028,36245,3.9,6.3,10.1
0400000US28,Mississippi,54933,71577,23434,8.2,15.9,20.8
0400000US29,Missouri,67612,87430,29537,5.1,9.8,14.2
0400000US30,Montana,68139,86881,29765,4.2,8.5,13.7
0400000US31,Nebraska,75123,93333,31101,3.5,7.7,11.6
0400000US32,Nevada,68700,88777,29961,6.9,9.8,13.7
0400000US33,New Hampshire,91245,112822,38548,4,4.9,7.9
0400000US34,New Jersey,98047,129025,40895,6.1,7.6,10.4
0400000US35,New Mexico,59175,78165,26085,7.2,15.3,20
0400000US36,New York,80419,114090,37470,6,10.9,14.6
0400000US37,North Carolina,65097,87271,29456,6.3,11.2,15.4
0400000US38,North Dakota,83272,103731,35373,2.8,6.4,10.9
0400000US39,Ohio,69837,89168,30304,5.8,10.4,14.5
0400000US40,Oklahoma,63574,82950,27432,5.3,11.6,16
0400000US41,Oregon,72823,94186,32045,6,9.2,14.1
0400000US42,Pennsylvania,75477,97993,32889,5.8,8.7,12.8
0400000US44,Rhode Island,81822,102894,34619,6.1,9.2,13.1
0400000US45,South Carolina,63437,82909,27986,6.4,11.7,16
0400000US46,South Dakota,72706,89092,29801,3.5,8.5,13.6
0400000US47,Tennessee,63096,84434,28511,5.9,11.9,16.1
0400000US48,Texas,70423,96001,30143,5.4,11.9,15.5
0400000US49,Utah,77732,96935,28239,3.9,7.3,10.3
0400000US50,Vermont,77193,95100,33238,4.1,7.1,11.2
0400000US51,Virginia,86628,114218,37763,5,7.5,10.9
0400000US53,Washington,84182,109100,36888,5.3,7.4,11.5
0400000US54,West Virginia,57598,73168,25479,6.7,13,17.8
0400000US55,Wisconsin,75313,93565,32018,4,7.7,11.9
0400000US56,Wyoming,77480,92743,32295,4.5,7.1,11.1
0400000US72,Puerto Rico,24391,36458,12451,17,40.9,44.5
